Customer ID,Age,Hours at Gym (per week),Gym Membership Length (years),Calorie Intake,Gender_Female,Gender_Male,Gender_Other,Fitness Goal_Build muscle,Fitness Goal_Endurance training,Fitness Goal_Fat loss,Fitness Goal_Flexibility,Fitness Goal_General health,Cluster
771155,-0.6136507822321756,0.0323607097370547,0.8823836468481588,-0.2769928785325979,True,False,False,False,True,False,False,False,3
231932,-1.011227345368515,0.9712574202752214,-0.32508871199669,-1.2387600530750793,False,True,False,False,False,True,False,False,3
465838,-0.8124390638003453,-0.1241220753526398,-1.532561070841539,1.3472742499702626,True,False,False,True,False,False,False,False,1
359178,-1.8063804716411933,2.457843878627319,1.4861198262705833,0.6048174050146653,True,False,False,True,False,False,False,False,0
744167,-0.8124390638003453,-0.3588462529871813,-0.9288248914191144,-1.5722945126551322,False,True,False,False,False,False,True,False,2
210268,0.5790789071768423,-0.5153290380768759,-0.32508871199669,0.9703346209928054,False,True,False,True,False,False,False,False,1
832180,-0.2160742190958363,0.5800504575509854,-0.9288248914191144,-0.8092773243007645,True,False,False,False,False,True,False,False,3
187498,0.3802906256086726,-0.2806048604423344,-0.9288248914191144,0.5865415442157582,False,True,False,True,False,False,False,False,1
999159,-0.414862500664006,-1.375984356070195,-0.9288248914191144,0.1753346762403505,False,True,False,False,False,False,False,True,2
275203,-0.6136507822321756,0.8930160277303738,-0.9288248914191144,-1.7390617424451589,False,True,False,False,False,True,False,False,3
378167,0.5790789071768423,-1.4542257486150425,-0.9288248914191144,-1.6134151994526729,False,True,False,False,False,False,True,False,2
429365,0.181502344040503,0.4235676724612901,0.2786474674257344,-0.7750100853028139,False,True,False,False,False,True,False,False,3
164820,-1.011227345368515,0.6582918500958322,-0.9288248914191144,-1.188501435878085,True,False,False,False,False,True,False,False,3
887201,-1.011227345368515,0.2670848873715962,1.4861198262705833,-0.1125101313424348,False,True,False,False,True,False,False,False,3
421879,-0.414862500664006,-1.7671913187944313,-0.9288248914191144,-0.4209152823239906,True,False,False,False,True,False,False,False,2
818315,-0.6136507822321756,0.9712574202752214,-0.9288248914191144,-1.282165222472483,False,True,False,False,False,True,False,False,3
876997,-1.2100156269366846,1.9101541308133887,0.8823836468481588,1.557446649157693,True,False,False,True,False,False,False,False,0
299041,-0.2160742190958363,-0.4370876455320289,-0.9288248914191144,-0.8641049066974855,False,True,False,False,False,True,False,False,2
891743,-0.414862500664006,-0.358846252987182,-0.9288248914191144,0.8469725606001831,True,False,False,True,False,False,False,False,1
203355,3.3621148491312174,0.8930160277303738,1.4861198262705833,0.7601622218053748,False,True,False,True,False,False,False,False,0
335796,0.7778671887450119,-0.3588462529871813,-1.532561070841539,1.0091708251904827,False,True,False,True,False,False,False,False,1
314176,-0.8124390638003453,-0.2023634678974867,-0.9288248914191144,0.4540415534236824,False,True,False,False,True,False,False,False,1
284779,-1.607592190073024,1.9883955233582344,0.8823836468481588,-1.151949714280271,False,True,False,False,False,True,False,False,3
447449,0.3802906256086726,0.0323607097370547,0.2786474674257344,0.7121880872082439,False,True,False,True,False,False,False,False,0
521909,-1.2100156269366846,0.0323607097370547,-1.532561070841539,-1.5243203780580012,False,True,False,False,False,True,False,False,2
358795,-1.4088039085048545,1.2842229904546103,0.8823836468481588,-1.3712600438671552,True,False,False,False,False,True,False,False,3
586232,-0.6136507822321756,1.5971885606339984,1.4861198262705833,1.2421880503765472,False,True,False,True,False,False,False,False,0
600186,-0.414862500664006,-2.001915496428973,-0.9288248914191144,0.2255932934373448,False,True,False,False,True,False,False,False,2
256730,-0.0172859375276666,-1.297742963525348,-0.9288248914191144,-0.0462601359463969,False,True,False,False,False,False,False,True,2
970910,1.3742320334495208,-0.2023634678974867,1.4861198262705833,0.3649467320290108,False,True,False,False,False,False,False,True,0
484681,0.9766554703131816,-1.219501570980501,-0.9288248914191144,0.2278777760372081,False,True,False,False,True,False,False,False,2
249503,0.181502344040503,0.1888434948267493,-0.9288248914191144,-1.5631565822556786,True,False,False,False,False,True,False,False,2
754811,-0.0172859375276666,0.8147746351855268,0.8823836468481588,0.6733518830105666,False,True,False,True,False,False,False,False,0
627035,0.181502344040503,1.205981597909763,1.4861198262705833,1.0411535815885702,False,True,False,True,False,False,False,False,0
748143,0.5790789071768423,-0.6718118231665704,-0.9288248914191144,1.107403576984608,False,True,False,True,False,False,False,False,1
552366,0.7778671887450119,-0.906536000801112,0.8823836468481588,-1.0560014450860091,False,True,False,False,False,False,True,False,2
165725,-1.011227345368515,1.9101541308133876,1.4861198262705833,0.979472551392259,True,False,False,True,False,False,False,False,0
229981,-0.6136507822321756,0.7365332426406792,0.8823836468481588,0.6984811916090636,False,True,False,True,False,False,False,False,0
691723,2.566961722858539,-0.2806048604423344,0.8823836468481588,-1.7870358770422896,False,False,True,False,False,False,True,False,2
419030,1.97059687815403,0.1888434948267493,0.8823836468481588,-0.0873808227439377,False,True,False,False,False,False,False,True,0
428947,-0.0172859375276666,-0.5153290380768759,0.2786474674257344,1.4752052755626115,True,False,False,True,False,False,False,False,1
655839,0.3802906256086726,-0.8282946082562643,-1.532561070841539,1.6031363011549606,False,True,False,True,False,False,False,False,1
373538,1.1754437518813512,0.0323607097370547,1.4861198262705833,0.6916277438094736,True,False,False,True,False,False,False,False,0
431236,-1.4088039085048545,0.5018090650061378,-0.9288248914191144,0.7418863610064678,False,True,False,True,False,False,False,False,1
628178,-0.0172859375276666,0.1888434948267493,0.8823836468481588,1.137101850782832,True,False,False,True,False,False,False,False,0
665894,-1.8063804716411933,1.8319127382685405,0.8823836468481588,-1.1222514404820472,False,True,False,False,False,True,False,False,3
